2026-04-22 16:09:19,528 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:19,529 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=23000, chunk_rows=1000
2026-04-22 16:09:20,271 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:20,272 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=24000, chunk_rows=1000
2026-04-22 16:09:20,971 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:20,973 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=25000, chunk_rows=1000
2026-04-22 16:09:21,610 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:21,610 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=26000, chunk_rows=1000
2026-04-22 16:09:22,278 | ERROR | haver_api.db | API request failed | error=HTTPSConnectionPool(host='tableau-database-bbbdb532942c.herokuapp.com', port=443): Max retries exceeded with url: /run-query (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1149)')))
2026-04-22 16:09:22,279 | ERROR | haver_api.db | Upsert chunk failed | table_name=haver_values, chunk_start=27000, chunk_rows=1000
